Left Eye,Right Eye,Nose,Left Mouth,Right Mouth
1.255383473,1.28775403,1.591095713,1.321251591,1.459844852
1,1.414214,1.414214,1.414214,1
1.414214,1.414214,1.414214,1,2.236068
1.414214,1.414214,3,2,1
1.414214,1,1,1.414214,1.414214
1.414214,1,1,1,2
1.414214,1,2.236068,2,1.414214
1.414214,1,1,2.236068,1.414214
1.414214,1,1.414214,2.236068,1.414214
1.414214,1.414214,2.236068,0,0
1.414214,1,1,0,1
1.414214,1.414214,3,1.414214,1
1.414214,0,1.414214,1.414214,1
1.414214,2,1,1.414214,1
1,0,1,1,1.414214
1.414214,1,1.414214,1,1
1.414214,0,2.236068,1,1.414214
1,0,1,1,0
1.414214,1,1.414214,1.414214,1
1.414214,1,0,0,1
1.414214,1,2.828427,1,1.414214
1.414214,0,1,1,2.236068
1.414214,1,0,1,1
1,1,1,1,0
0,1,1.414214,1.414214,3
1.414214,1.414214,0,1,0
1.414214,10.198039,10.198039,7,13.453624
1,1.414214,1,1,1.414214
1.414214,1.414214,1.414214,0,1
1.414214,4.472136,4.242641,1.414214,4
1.414214,0,1,1,1
1.414214,1,1,1,1
1.414214,1.414214,1.414214,0,1.414214
1.414214,2.236068,1,2.236068,3
0,1.414214,5,2.236068,1.414214
1.414214,1,1.414214,1.414214,0
1,8.062258,5.09902,1.414214,13.152946
1.414214,1,1.414214,2.236068,1
1.414214,0,0,1,1.414214
1.414214,1,3.162278,2,2.236068
1.414214,2,1,1,1
1.414214,1,1,1,2.236068
1.414214,3,2.236068,1.414214,2.236068
1.414214,1,1,0,1
1.414214,2.236068,4.123106,1.414214,1
1.414214,1.414214,1.414214,5,3.162278
1,2.236068,1.414214,2,1
1.414214,0,1,2,1.414214
0,1,1,1.414214,1.414214
1,1.414214,1,0,1.414214
1.414214,1.414214,3.162278,1.414214,4
1.414214,1,1.414214,1.414214,1
1.414214,1.414214,1.414214,0,0
1.414214,1.414214,1,0,1
1.414214,1.414214,1,1,1
1.414214,1.414214,1,1,0
1,1.414214,1.414214,1.414214,2.236068
1,2.236068,1,1,1.414214
2.236068,0,3.605551,3.162278,1
1,1,1,0,1
1.414214,0,0,1,1.414214
1.414214,2.236068,1,1,3.605551
1.414214,0,1,1.414214,1.414214
1,1.414214,1.414214,0,1
1.414214,1,3.605551,1,1
1.414214,1,2.236068,1,2
1.414214,1,2.236068,1,0
1.414214,1.414214,1,0,1
1.414214,2.236068,0,0,1.414214
1,2.236068,2,3,2.828427
1.414214,1.414214,0,4.242641,2.236068
1.414214,1,2,0,0
0,1,1.414214,1,1
1.414214,0,1,1.414214,1.414214
1.414214,0,2.236068,2,0
1,5.385165,1.414214,3,4.123106
1.414214,1,2,1.414214,1
1.414214,2,1,2,1.414214
1.414214,1.414214,1,1,1
1.414214,1,1,2.236068,2.236068
1.414214,1.414214,1.414214,3.162278,0
1.414214,1,0,1,1.414214
1.414214,1.414214,1,1.414214,1
1,1,1,1,1
1.414214,1.414214,1.414214,0,1.414214
1.414214,1,1,1,1.414214
